befinsul =

   -0.8000    7.2000
   -0.7000    6.9000
    0.4000    6.4000
    2.5000    6.0000
    2.9000    5.8000
    3.2000    5.8000
    3.6000    5.6000
    3.9000    4.7000
    4.2000    5.8000
    4.3000    5.2000
    5.4000    4.9000
    6.0000    4.9000
    6.0000    4.3000
    6.0000    4.4000
    6.2000    4.5000
    6.3000    4.6000
    6.9000    3.7000
    7.0000    3.9000
    7.4000    4.2000
    7.5000    4.0000
    7.5000    3.9000
    7.6000    3.5000
    8.0000    4.0000
    8.5000    3.6000
    9.1000    3.1000
   10.2000    2.6000

aftinsul =

   -0.7000    4.8000
    0.8000    4.6000
    1.0000    4.7000
    1.4000    4.0000
    1.5000    4.2000
    1.6000    4.2000
    2.3000    4.1000
    2.5000    4.0000
    2.5000    3.5000
    3.1000    3.2000
    3.9000    3.9000
    4.0000    3.5000
    4.0000    3.7000
    4.2000    3.5000
    4.3000    3.5000
    4.6000    3.7000
    4.7000    3.5000
    4.9000    3.4000
    4.9000    3.7000
    4.9000    4.0000
    5.0000    3.6000
    5.3000    3.7000
    6.2000    2.8000
    7.1000    3.0000
    7.2000    2.8000
    7.5000    2.6000
    8.0000    2.7000
    8.7000    2.8000
    8.8000    1.3000
    9.7000    1.5000
