control =

          1.00          1.00
          2.00         22.00
          3.00          3.00
          4.00         12.00
          5.00          8.00
          6.00         17.00
          7.00          2.00
          8.00         11.00
          9.00          8.00
         10.00         12.00
         11.00          2.00
         12.00          5.00
         13.00          4.00
         14.00         15.00
         15.00          8.00
         16.00         23.00
         17.00          5.00
         18.00         11.00
         19.00          4.00
         20.00          1.00
         21.00          8.00


mp =

          1.00         10.00
          2.00          7.00
          3.00         32.00
          4.00         23.00
          5.00         22.00
          6.00          6.00
          7.00         16.00
          8.00         34.00
          9.00         32.00
         10.00         25.00
         11.00         11.00
         12.00         20.00
         13.00         19.00
         14.00          6.00
         15.00         17.00
         16.00         35.00
         17.00          6.00
         18.00         13.00
         19.00          9.00
         20.00          6.00
         21.00         10.00
